First Name,Middle Name,Last Name,Email ID,Mobile Number,Program Unique Code,Paid Amount,1st Payment - Payment Type,Payment/Order ID - (Receipt Number)
Aarav,Kumar,Singh,aarav.s@mailinator.com,9876500001,CUP13,39000,Cash,
Meera,Ramesh,Shah,meera.shah@mailinator.com,9876500002,CUP13,22000,Cash,
Rohan,Pratap,Iyer,rohan.iyer@mailinator.com,9876500003,CUP13,11000,Cash,
Priya,Sunil,Nair,priya.nair@mailinator.com,9876500004,CUP13,10000,Cash,
Aditya,Mohan,Verma,aditya.v@mailinator.com,9876500005,CUP13,9200,Cash,
Kavya,Shankar,Reddy,kavya.r@mailinator.com,9876500006,CUP13,85000,Cash,
Arjun,Dev,Singh,arjun.s@mailinator.com,9876500007,CUP13,9200,Cash,
Neha,Vinod,Gupta,neha.g@mailinator.com,9876500008,CUP13,51000,Cash,
Vivek,Anand,Rao,vivek.r@mailinator.com,9876500009,CUP13,40000,Cash,
Aisha,Firoz,Khan,aisha.k@mailinator.com,9876500010,CUP13,9300,Cash,
Karan,Naresh,Mehta,karan.m@mailinator.com,9876500011,CUP13,9020,Cash,
Tanya,Rajesh,Das,tanya.d@mailinator.com,9876500012,CUP13,11000,Cash,
Rahul,Omkar,Sharma,rahul.s@mailinator.com,9876500013,CUP13,10000,Cash,
Sneha,Harish,Patel,sneha.p@mailinator.com,9876500014,CUP13,91000,Cash,
Dev,Suresh,Mishra,dev.m@mailinator.com,9876500015,CUP13,71000,Cash,
Ananya,Gopal,Joshi,ananya.j@mailinator.com,9876500016,CUP13,51000,Cash,
Siddharth,Lalit,Yadav,siddharth.y@mailinator.com,9876500017,CUP13,31000,Cash,
Pooja,Ashok,Chawla,pooja.c@mailinator.com,9876500018,CUP13,54200,Cash,
Manish,Dinesh,Pandey,manish.p@mailinator.com,9876500019,CUP13,82000,Cash,
Ritu,Manoj,Malhotra,ritu.m@mailinator.com,9876500030,CUP13,65000,Cash,
,,,,,,,,
